TP-BAED0025,00AIVKIDO01487633,2021-1-17,Plexzap,155.32,4,sss
ZN-EAES0114,00AIVKIDO01487633,2021-1-17,Nam-zim,44.81,1,
BH-EAEM0145,00AIVKIDO01487633,2021-5-26,Zathunicon,7.9,3,
BH-PACBS0184,00AIVKIDO01487633,2021-5-26,Finhigh,30.54,1,
BM-EAEM0139,00AIVKIDO01487633,2021-5-26,Funholding,140.2,4,
ZN-BAE0019,00AIVKIDO01487633,2021-5-26,Blackzim,109.27,2,
ZN-EAEM0150,00AIVKIDO01487633,2021-5-26,Toughzap,93.29,4,
PP-PACBS0163,00AIVKIDO01487633,2021-7-25,Finhigh,10.51,1,
PP-PACBS0178,00AIVKIDO01487633,2021-7-25,Nam-zim,35.17,2,
BH-EAES0123,00AIVKIDO01487633,2021-8-17,Finhigh,30.07,2,
ZN-EAEM0139,01WR7E2ZMCD216522,2021-7-3,Funholding,73.66,1,
BM-BAE0009,01WR7E2ZMCD216522,2021-7-24,Betatech,65.02,1,
BH-EAEIS0080,01WR7E2ZMCD216522,2021-8-13,Nam-zim,54.88,3,
BH-EAES0102,01WR7E2ZMCD216522,2021-8-13,Toughzap,2.99,3,
BM-BAEW0036,01WR7E2ZMCD216522,2021-8-13,Zathunicon,70.11,2,
BM-EAEGAM0063,01WR7E2ZMCD216522,2021-8-13,Blackzim,73.75,1,
FG-BAE0016,01WR7E2ZMCD216522,2021-8-13,Betatech,64.8,1,
FG-BAEW0034,01WR7E2ZMCD216522,2021-8-13,Finhigh,26.84,4,
FH-EAEESS0054,01WR7E2ZMCD216522,2021-8-24,Blackzim,43.13,3,
FH-EAEESS0060,01WR7E2ZMCD216522,2021-8-24,Plexzap,10.55,3,
FH-EAES0124,01WR7E2ZMCD216522,2021-8-24,Finhigh,55.1,1,
NM-EAELASS0084,01WR7E2ZMCD216522,2021-8-24,Plexzap,55.94,4,
NM-PACBS0165,01WR7E2ZMCD216522,2021-8-24,Betatech,51.09,2,
ZN-BAEW0036,01WR7E2ZMCD216522,2021-8-24,Plexzap,27.02,4,
ZN-PACBS0178,01WR7E2ZMCD216522,2021-8-24,Funholding,72.62,3,
FG-EAELASS0084,01WR7E2ZMCD216522,2021-8-28,Nam-zim,76.07,1,
FG-PACBS0169,01WR7E2ZMCD216522,2021-8-28,Toughzap,71.04,1,
PP-10141,01WR7E2ZMCD216522,2021-8-28,Blackzim,5.25,2,
PP-PACBS0189,01WR7E2ZMCD216522,2021-8-28,Funholding,51.6,4,
TP-EAEGAM0064,01WR7E2ZMCD216522,2021-8-28,Zathunicon,61.21,2,
BH-EAEGAM0067,01WR7E2ZMCD216522,2021-9-13,Funholding,44.42,1,
BH-PACBS0164,01WR7E2ZMCD216522,2021-9-13,Toughzap,54.77,4,
FH-BAE0010,01WR7E2ZMCD216522,2021-9-13,Blackzim,19.09,3,
FH-PACBS0185,01WR7E2ZMCD216522,2021-9-13,Zathunicon,1.34,1,
NM-EAELASS0089,01WR7E2ZMCD216522,2021-9-13,Zathunicon,65.55,3,
NM-EAEWH0129,01WR7E2ZMCD216522,2021-9-13,Blackzim,37.97,2,
PP-EAEIS0079,01WR7E2ZMCD216522,2021-9-13,Funholding,69.52,1,
PP-PACBS0167,01WR7E2ZMCD216522,2021-9-13,Nam-zim,75.37,3,
ZN-EAEM0143,01WR7E2ZMCD216522,2021-9-13,Funholding,56.79,4,
