00AIVKIDO01487633,5315.01,2006,LS,,2020-7-17,user09,Lincoln,vanMiniVan,sss
01WR7E2ZMCD216522,2572,2006,FE145,automatic safety features; ,2021-2-9,user18,Mitsubishi,suv,
06XZOKN8UAY309163,1177.06,2004,5-9??,,2020-2-13,user25,SAAB,suv,
073HOEWCHAF741925,4488.9,2013,QX56,,2021-2-20,user18,INFINITI,car,
07TSE0YYIZF380247,2262.77,2003,CR125R,good gear; disc brake; disc brake; ,2020-4-11,user20,Honda,vanMiniVan,
07W0YPOJ5ME337155,3976.03,2009,V8 vanMiniVanTAGE,,2020-9-2,roland,Aston Martin,vanMiniVan,
0BT52YYB1L8670257,13651.83,2012,SLK350,coupe; ,2020-3-15,user27,Mercedes-Benz,suv,
0EPPRCZZ8NW751990,4789.06,2010,EXIGE,superturbocharger; crankcase; ,2020-7-22,user18,Lotus,convertible,
0I0Q707FJ2E520815,1561.77,2002,VOYAGER,supernew catalytic converter; ,2020-9-25,user03,Chrysler,vanMiniVan,
0K0DP4SDKL0912273,3044.58,2013,ALPINA B7L XDRIVE,power train; ,2020-3-21,user27,BMW,convertible,
0T8OJLNDGOE809956,3972.65,2021,GHOST,four-wheel drive; high differential; strong muffler; ,2020-6-26,user03,Rolls-Royce,vanMiniVan,
0UBBG820VBK445621,3628.68,2007,LUPO,best possible traction; autotachometer; ,2020-2-27,user11,Volkswagen,convertible,
0VWWXBNXE6N897485,1006.68,2007,GRAND CHEROKEE,ultra new transmission; best sedan; ,2020-4-18,user25,Jeep,suv,
0WPI14P1N3Y139809,4256.41,2008,EX35,automatic transmission; ,2021-1-16,user03,INFINITI,convertible,
0YQVT1ME4G3999928,1085.89,2002,ARNAGE,front wheel drive; ,2021-5-23,user03,Bentley,truck,
138J6387R5R404455,1492.24,2003,W3500 TILTMASTER,all passive safety features; ,2020-3-22,user20,Chevrolet,truck,
15G3KHMPQ6Q659826,4054.4,2013,EVORA,anti-lock brake system (ABS); great stabilizer bar; ,2020-1-12,user05,Lotus,car,
1D5LRLSWAOI565071,4325.62,2012,ECONOLINE vanMiniVan,safe oil ring; ,2020-10-10,user14,Ford,suv,
1DQL1LHOWDJ517215,1284.63,2004,OUTBACK,crumple zones; oversteer; ,2020-5-2,user07,Subaru,truck,
1EF7NFU0EUT973245,3105.79,2002,SIENNA,check the Monroney sticker - theer is nothing better than this vehicle; ,2020-10-18,user25,Toyota,truck,
1FU8E0GMYMW270793,2654.48,2013,S,,2020-3-31,user14,Tesla,car,
1NGZ4FLKC0Y272420,1135.53,2021,ES350,high block; drive shaft; ,2020-6-9,user25,Lexus,truck,
1XHDZEREQ7I052484,6000.85,2012,COUNTRYMAN,broad wheelbase; ,2020-2-16,user16,MINI,convertible,
20DS0RGMDXW132327,1800.98,2007,B2300,disc brake; drum brake; good gear; ,2021-6-7,user26,MAZDA,suv,
21SSFP0O1TZ975822,2527.5,2004,ENZO,overdrive; ,2020-12-7,user18,Ferrari,convertible,
222BHPCRR2U716446,2205.84,2001,CR-V,modern dashboard; ,2020-5-3,user14,Honda,vanMiniVan,
23XU4U8IFDL261229,1812.08,2007,XK,original equipment manufacturer (OEM) parts; ,2020-9-10,user05,Jaguar,truck,
26OCQWEQYJV636712,2573.46,2014,ESCALADE,can be used as sports car; ,2021-6-15,user26,Cadillac,car,
26RIMRHVSQK619881,1647.53,2006,SRX,superturbocharger; electronic transmission; ,2020-7-5,user09,Cadillac,convertible,
280ECEXOEHP375800,1541.24,2001,IMPREZA,innovative air bags; ,2021-2-5,roland,Subaru,suv,
2GJ51MZ0A1N199895,2743.31,2013,GALLARDO,best radiator; ,2020-6-26,user09,Lamborghini,convertible,
2H6ZZF8OOXC822443,4789.06,2008,EXIGE,no backfire/backfiring; ,2020-6-10,user27,Lotus,truck,
2JFUVPW8OEP241581,3521.82,2008,R350,engine displacement; ,2020-9-14,user25,Mercedes-Benz,vanMiniVan,
2JS82H11FSA911163,4247.5,2008,535XI,high torque; ,2020-10-26,user11,BMW,truck,
2M2YYWOTASX195835,1754.25,2005,A6,no backfire/backfiring; ,2020-5-31,user18,Audi,convertible,
2MNNLWJKNT4620363,2448.74,2013,108SD,,2021-2-9,user07,Freightliner,car,
2NMR3SMFNAZ813043,2743.31,2020,GALLARDO,superturbocharger; disc brake; ,2020-10-28,roland,Lamborghini,truck,
2PLFCGV5R7I019543,1291.57,2010,CSX,no understeer; best radiator; ,2020-10-10,user27,Acura,vanMiniVan,
2PTE667K3PZ151997,4051.61,2002,EUROvanMiniVan,best radiator; ,2020-5-27,user26,Volkswagen,vanMiniVan,
2UL7JBUREY0725461,4319.61,2010,OPTIMA,,2021-5-13,user27,Kia,suv,
2W7BN5RJGCI094698,10249.6,2013,XTERRA,high block; ,2020-12-18,user14,Nissan,convertible,
2XMKC0W8ARB619752,1655.83,2007,TOUAREG,,2020-5-27,user09,Volkswagen,convertible,
2ZGQSMRVMSR266772,1175.9,2018,TITAN,broad wheelbase; crumple zones; high differential; ,2021-6-1,user05,Nissan,suv,
